Villes, Bouteille d'eau en plastique, Canette de soda, Brique de jus, Carton, Boite de conserve, Thon en conserve, Pot de confiture, Feuille de papier, Reste de pomme, Epluchures, Bouteille d'eau en verre, Pot de yaourt en plastique, Pot de yaourt en verre, Barquette en plastique, Flacon de shampoing, Flacon de parfum
Aix-en-Provence (13001),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Brest (29019),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle marron,Bac au couvercle marron,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Tours (37261),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Amiens (80021),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte
Limoges (87085),Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Compost,Compost,Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Point de collecte
Annecy (74010),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle gris ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte
Boulogne-Billancourt (92012),Bac au couvercle jaune,Bac au couvercle jaune,Bac au couvercle jaune / Bac au couvercle jaune,Bac au couvercle jaune,Bac au couvercle jaune,Bac au couvercle jaune,Bac au couvercle jaune / Point de collecte,Bac au couvercle jaune,Compost,Compost,Point de collecte / Bac au couvercle jaune,Bac au couvercle jaune / Bac au couvercle jaune,Bac au couvercle jaune / Point de collecte,Bac au couvercle jaune,Bac au couvercle jaune,Point de collecte
Perpignan (66136),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Metz (57463),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Besan�on (25056),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Compost,Compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
